SYMBOL,LAST PRICE,CHANGE RATE,CHANGE,RATING,VOLUME,MARKET CAP,PE RATIO,EPS,EMPLOYEES,SECTOR
CCC,17.28,6.93%,1.12,Buy,10.318M,5.275B,—,-0.63,3.00,Industrials
AMRX,2.94,6.91%,0.19,Buy,3.542M,915.578M,—,-0.52,6000.00,Healthcare
IMUX,13.79,6.90%,0.89,Sell,173.253K,139.189M,—,-15.70,10.00,Healthcare
TRVI,4.81,6.89%,0.31,Sell,10.369K,85.784M,—,-1.72,16.00,Healthcare
LGF.A,10.87,6.88%,0.70,Sell,1.497M,2.367B,—,-1.54,1415.00,Consumer Cyclicals
MORF,21.53,6.85%,1.38,Buy,46.674K,656.734M,—,-0.91,65.00,Healthcare
APLS,32.18,6.80%,2.05,Strong Buy,675.054K,2.050B,—,-3.29,87.00,Healthcare
STKS,2.87,6.69%,0.18,Strong Sell,51.490K,82.676M,25.52,0.12,99.00,Consumer Cyclicals
ORGS,4.52,6.60%,0.28,Buy,15.637K,72.957M,—,-1.54,231.00,Healthcare
TZOO,11.50,6.58%,0.71,Sell,107.581K,134.961M,22.93,0.51,422.00,Consumer Cyclicals
CNFRL,24.50,6.52%,1.50,Buy,875,33.279M,—,-1.40,148.00,Financials
AXL,7.68,6.52%,0.47,Sell,4.955M,863.814M,—,-1.79,27000.00,Consumer Cyclicals
AKTS,8.04,6.49%,0.49,Buy,943.343K,241.655M,—,-1.19,69.00,Technology
REV,17.50,6.45%,1.06,Buy,120.698K,962.384M,—,-4.34,7300.00,Consumer Non-Cyclicals
APTX,3.66,6.40%,0.22,Buy,103.276K,123.210M,—,-1.71,63.00,Healthcare
TLRD,5.52,6.36%,0.33,Buy,3.535M,278.866M,3.98,1.41,15100.00,Consumer Cyclicals
WTER,2.18,6.34%,0.13,Buy,498.519K,90.138M,—,-0.35,8.00,Consumer Non-Cyclicals
LE,11.28,6.31%,0.67,Buy,1.600M,365.133M,67.93,0.19,5000.00,Consumer Cyclicals
CLDR,8.80,6.28%,0.52,Buy,18.406M,2.461B,—,-1.30,2947.00,Industrials
UROV,9.99,6.28%,0.59,Buy,37.592K,303.101M,—,-3.58,39.00,Healthcare
EXPR,2.23,6.19%,0.13,Buy,960.350K,149.996M,—,-0.20,15700.00,Consumer Cyclicals
ZSL,26.80,6.18%,1.56,Sell,329.182K,—,—,—,—,Financials
HMI,10.67,6.17%,0.62,Buy,290.740K,653.978M,25.89,0.45,694.00,Consumer Cyclicals
KIDS,35.10,6.11%,2.02,Buy,137.330K,524.380M,—,-0.72,80.00,Healthcare
UGAZ,18.96,6.10%,1.09,Buy,14.340M,—,—,—,—,Financials
PRQR,7.32,6.09%,0.42,Sell,241.536K,315.858M,—,-1.30,119.00,Healthcare
WMS,32.08,6.05%,1.83,Buy,4.345M,1.856B,—,-3.33,4400.00,Consumer Cyclicals
ARAY,2.82,6.02%,0.16,Sell,540.947K,250.352M,—,-0.19,947.00,Healthcare
KERN,7.80,5.98%,0.44,Sell,61.369K,143.192M,—,-0.48,71.00,Technology
RADA,5.18,5.93%,0.29,Buy,357.969K,197.187M,—,-0.02,117.00,Technology
PFSW,2.33,5.91%,0.13,Sell,33.470K,45.278M,169.33,0.03,2300.00,Technology
USWS,3.05,5.90%,0.17,Neutral,49.887K,208.568M,—,-1.32,856.00,Energy
VLRS,10.25,5.89%,0.57,Strong Buy,496.081K,893.171M,19.55,0.52,4748.00,Industrials
CBMG,12.63,5.87%,0.70,Buy,44.410K,256.492M,—,-2.31,193.00,Healthcare
RMTI,2.71,5.86%,0.15,Buy,291.754K,172.965M,—,-0.59,269.00,Healthcare
UTI,5.45,5.83%,0.30,Buy,45.825K,138.968M,—,-1.17,1800.00,Industrials
IFRX,2.93,5.78%,0.16,Buy,718.097K,76.076M,—,-1.79,38.00,Healthcare
